 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        100552        7672744  [B (java.base@11.0.2)
   2:          1328        3943504  [C (java.base@11.0.2)
   3:         99346        2384304  java.lang.String (java.base@11.0.2)
   4:         64201        2054432  java.util.HashMap$Node (java.base@11.0.2)
   5:         18325        1612600  java.lang.reflect.Method (java.base@11.0.2)
   6:         10063        1214320  java.lang.Class (java.base@11.0.2)
   7:         17787        1018904  [Ljava.lang.Object; (java.base@11.0.2)
   8:          4096         738544  [Ljava.util.HashMap$Node; (java.base@11.0.2)
   9:          4633         694208  [I (java.base@11.0.2)
  10:         20118         643776  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.2)
  11:         17409         557088  java.lang.ref.WeakReference (java.base@11.0.2)
  12:         11636         465440  java.lang.ref.SoftReference (java.base@11.0.2)
  13:         14522         348528  sun.font.TrueTypeFont$DirectoryEntry (java.desktop@11.0.2)
  14:          9404         300928  java.util.Hashtable$Entry (java.base@11.0.2)
  15:          1888         299712  [Ljava.lang.reflect.Method; (java.base@11.0.2)
  16:         13651         273712  [Ljava.lang.Class; (java.base@11.0.2)
  17:          3752         270144  java.beans.PropertyDescriptor (java.desktop@11.0.2)
  18:          4377         210096  java.util.HashMap (java.base@11.0.2)
  19:          7504         180096  java.beans.MethodRef (java.desktop@11.0.2)
  20:         10933         174928  java.lang.Object (java.base@11.0.2)
  21:          2166         173280  java.lang.reflect.Constructor (java.base@11.0.2)
  22:           295         171936  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.2)
  23:          5048         161536  java.lang.invoke.LambdaForm$Name (java.base@11.0.2)
  24:           914         138928  sun.font.TrueTypeFont (java.desktop@11.0.2)
  25:          3442         137680  javax.swing.text.GapContent$MarkData (java.desktop@11.0.2)
  26:          3355         134200  javax.swing.text.AbstractDocument$LeafElement (java.desktop@11.0.2)
  27:          1873         119872  java.lang.Class$ReflectionData (java.base@11.0.2)
  28:           386         114072  [J (java.base@11.0.2)
  29:           814         110624  [Ljava.util.Hashtable$Entry; (java.base@11.0.2)
  30:          4604         110496  java.util.ArrayList (java.base@11.0.2)
  31:          1045         104104  [Ljava.lang.String; (java.base@11.0.2)
  32:          2542         101680  java.util.LinkedHashMap$Entry (java.base@11.0.2)
  33:          1524          97536  java.util.concurrent.ConcurrentHashMap (java.base@11.0.2)
  34:          1707          81936  java.lang.invoke.MemberName (java.base@11.0.2)
  35:          3405          81720  javax.swing.text.GapContent$StickyPosition (java.desktop@11.0.2)
  36:          1131          80832  [D (java.base@11.0.2)
  37:          2486          79552  javax.swing.text.html.parser.ContentModel (java.desktop@11.0.2)
  38:           914          74696  [Lsun.font.TrueTypeFont$DirectoryEntry; (java.desktop@11.0.2)
  39:          1528          73344  com.sun.beans.util.Cache$Kind$Soft (java.desktop@11.0.2)
  40:          1493          71664  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.2)
  41:           149          70328  javax.swing.JMenuItem (java.desktop@11.0.2)
  42:           130          63440  javax.swing.plaf.metal.MetalScrollButton (java.desktop@11.0.2)
  43:          1583          63320  java.util.TreeMap$Entry (java.base@11.0.2)
  44:           704          50688  java.lang.reflect.Field (java.base@11.0.2)
  45:          1078          43120  java.util.WeakHashMap$Entry (java.base@11.0.2)
  46:           528          41016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.2)
  47:          1655          39720  java.lang.Long (java.base@11.0.2)
  48:           812          38976  java.util.Hashtable (java.base@11.0.2)
  49:           111          38184  javax.swing.JPanel (java.desktop@11.0.2)
  50:          1533          36792  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.2)
  51:           887          35480  java.lang.invoke.MethodType (java.base@11.0.2)
  52:          1089          34848  sun.font.FontConfigManager$FontConfigFont (java.desktop@11.0.2)
  53:          2165          34640  java.util.HashSet (java.base@11.0.2)
  54:           134          33720  [[C (java.base@11.0.2)
  55:           682          32736  adams.core.option.BooleanOption
  56:          1984          31744  javax.swing.event.EventListenerList (java.desktop@11.0.2)
  57:          1253          30072  java.lang.invoke.ResolvedMethodName (java.base@11.0.2)
  58:           437          29680  [Ljava.lang.ref.SoftReference; (java.base@11.0.2)
  59:           908          29056  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.2)
  60:           453          28992  java.net.URL (java.base@11.0.2)
  61:          1791          28656  java.lang.Integer (java.base@11.0.2)
  62:          1164          27992  [Ljava.lang.reflect.Constructor; (java.base@11.0.2)
  63:            70          27328  [Ljavax.swing.text.GapContent$MarkData; (java.desktop@11.0.2)
  64:           851          27232  java.util.Vector (java.base@11.0.2)
  65:          1130          27120  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.2)
  66:           479          26824  adams.core.option.EnumOption
  67:          1675          26800  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.2)
  68:           523          25104  java.lang.invoke.LambdaForm (java.base@11.0.2)
  69:           516          24768  sun.font.FontFamily (java.desktop@11.0.2)
  70:           765          24480  com.sun.beans.introspect.ClassInfo (java.desktop@11.0.2)
  71:           764          24448  com.sun.beans.util.Cache$CacheEntry (java.desktop@11.0.2)
  72:            65          24440  javax.swing.JScrollPane$ScrollBar (java.desktop@11.0.2)
  73:           747          23904  java.util.Locale (java.base@11.0.2)
  74:           745          23840  sun.util.locale.BaseLocale (java.base@11.0.2)
  75:           745          23840  sun.util.locale.BaseLocale$Key (java.base@11.0.2)
  76:            50          23200  javax.swing.JButton (java.desktop@11.0.2)
  77:           713          22816  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.2)
  78:           365          20440  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.2)
  79:           839          20408  [Ljava.beans.PropertyChangeListener; (java.desktop@11.0.2)
  80:          1194          19104  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.2)
  81:           335          18760  sun.security.ssl.CipherSuite (java.base@11.0.2)
  82:          1144          18304  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.2)
  83:           754          18096  java.beans.PropertyChangeSupport (java.desktop@11.0.2)
  84:           751          18024  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.2)
  85:          1117          17872  java.lang.Character (java.base@11.0.2)
  86:           429          17160  javax.swing.DefaultButtonModel (java.desktop@11.0.2)
  87:           425          17000  java.security.AccessControlContext (java.base@11.0.2)
  88:          1058          16928  sun.font.Font2DHandle (java.desktop@11.0.2)
  89:           423          16920  java.math.BigInteger (java.base@11.0.2)
  90:           695          16680  javax.swing.ActionMap (java.desktop@11.0.2)
  91:           410          16400  adams.core.option.OptionManager
  92:           292          16352  adams.core.option.IntegerOption
  93:           167          16032  sun.awt.image.ImageRepresentation (java.desktop@11.0.2)
  94:            97          15680  [Ljavax.swing.text.AbstractDocument$AbstractElement; (java.desktop@11.0.2)
  95:           620          14880  java.awt.AWTEventMulticaster (java.desktop@11.0.2)
  96:           465          14880  java.lang.invoke.DirectMethodHandle (java.base@11.0.2)
  97:           367          14680  adams.gui.goe.classtree.ClassNode
  98:           914          14624  sun.font.TrueTypeFont$TTDisposerRecord (java.desktop@11.0.2)
  99:           360          14400  adams.gui.goe.classtree.GlobalInfoNode
 100:           360          14400  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.2)
