"ln weight","ln length"
1.302913,4.290459
1.701105,4.356709
1.597365,4.317488
1.244155,4.234107
1.181727,4.094345
1.472472,4.304065
1.862529,4.442651
2.124654,4.454347
1.856298,4.406719
2.107786,4.442651
1.607436,4.248495
0.524729,3.7612
-0.941609,3.465736
0.760806,3.850148
0.067659,3.73767
2.169054,4.49981
0.019803,3.828641
0.067659,3.637586
-0.127833,3.688879
-0.274437,3.663562
-0.733969,3.465736
-3.218876,2.302585
-0.020203,3.713572
1.205971,4.110874
0.019803,3.73767
0.09531,3.78419
0.854415,4.025352
1.368639,4.043051
-2.302585,2.833213
-0.430783,3.806662
0.494696,3.806662
-0.693147,3.555348
-2.120264,2.995732
-0.916291,3.367296
-1.966113,3.044522
-1.049822,3.258097
-1.237874,3.258097
-0.127833,3.583519
-2.120264,2.772589
-0.415515,3.555348
-0.478036,3.583519
-1.771957,3.091042
-1.386294,3.178054
0.824175,3.73767
0.231112,3.496508
0.788457,3.663562
1.564441,4.025352
1.18479,3.828641
-1.609438,3.091042
-2.407946,2.484907
-1.203973,3.295837
-0.653927,3.526361
-0.755023,3.465736
-1.660731,3.135494
-1.272966,3.332205
-2.525729,2.639057
-1.714798,3.091042
-2.040221,2.833213
-2.813411,2.302585
-1.609438,3.135494
-0.510826,3.555348
-0.941609,3.367296
-1.171183,3.258097
-1.832581,3.044522
-2.813411,2.772589
-3.218876,2.772589
-1.832581,2.995732
1.597365,4.317488
1.701105,4.356709
-1.021651,3.091042
1.150572,4.110874
0.647103,4.077537
2.132982,4.356709
2.611539,4.49981
2.163323,4.532599
1.479329,4.26268
2.107786,4.543295
1.84055,4.442651
1.80171,4.442651
-1.427116,3.178054
-1.309333,3.218876
0.71295,4.043051
0.262364,3.806662
-3.506558,2.302585
-3.506558,2.302585
-3.912023,2.302585
-3.506558,2.397895
-1.966113,2.944439
-2.525729,2.772589
-3.506558,3.433987
-1.714798,3.135494
-2.302585,2.944439
-2.407946,2.890372
-1.469676,3.135494
-1.347074,3.218876
-0.34249,3.496508
-0.162519,3.73767
-1.714798,3.044522
2.484907,4.49981
2.417698,4.543295
